Fichero actualizado a fecha: 2025-05-07 04:08:56
"Título";"Nombre";"Descripción";"Directorio";"Fotografia";"ExperienciaProfesional";"FechaPosesion";"FormacionAcademica";"LugarNacimiento";"Retribuciones";"Curriculum";"CurriculumLargo";Identificador;actualizacionMetadatos;Enlace al contenido;
"Consejero de Sanidad";"Alejandro Vázquez Ramos";;"Consejero de Sanidad";"https://datosabiertos.jcyl.es/web/jcyl/binarios/603/818/2022-Cargo-Consejro--SAN-VAZQUEZ.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionario de la Escala Superior de Sanitarios Locales de la Junta de Comunidades de Castilla - La Mancha (1990). En excedencia desde 1995.</li>
<li>Ha prestado servicio como Médico General en Valladolid (1990-1991) y Talavera de la Reina (1995)</li>
<li>Facultativo Especialista de Área en Nefrología en el Hospital Can Misses de Ibiza (1995-2003)</li>
<li>Entre 2003 y 2007 fue Director Médico del Área de Salud de Ibiza y Formentera</li>
<li>Facultativo Especialista de Área en Nefrología en el Hospital Virgen de la Concha de Zamora (2005). Tras el concurso de traslados convocado por SACYL en 2009, ostentó plaza de Nefrología en el Complejo Asistencial de Burgos.</li>
<li>Subdirector Médico del Complejo Asistencial de Zamora en 2008. Director Médico del Complejo Asistencial de Zamora de 2008 a 2011.</li>
<li>Director Médico del Complejo Asistencial Universitario de Burgos de 2011 a 2013</li>
<li>Procurador en las Cortes de Castilla y León por el Partido Popular desde la IX Legislatura, donde ha sido portavoz de Sanidad</li>
<li>Consejero de Sanidad de la Junta de Castilla y León de diciembre de 2021 a abril de 2022</li>
</ul>";"20220420";"<ul>
<li>Licenciado en Medicina y Cirugía por la Universidad de Valladolid, especialista en Nefrología</li>
</ul>";;;;;1285122372769;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285122372769/Organigrama";
"Director General de Centros e Infraestructuras";"Jose Miguel Sáez Carnicer";;"Director General de Centros e Infraestructuras";"https://datosabiertos.jcyl.es/web/jcyl/binarios/1016/529/20-DG-Centros-Planificacion-y-Ordenacion-JOSE-MIGUEL-SAEZ,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Director General de Centros, Planificación y Ordenación Educativa de la Consejería de Educación en la última legislatura</li>
<li>Director General de Función Pública en la Consejería de Economía y Hacienda de la Junta de Castilla y León desde julio de 2011 a julio de 2015.</li>
<li>Funcionario del Cuerpo Superior de la Administración de Castilla y León, desde agosto de 2007, servicio activo. Así mismo, es funcionario en excedencia del Cuerpo de Gestión de la Administración de Castilla y León (1992-2007), y Funcionario en excedencia, del Cuerpo Administrativo de la Administración de Castilla y León, (1987-1992)</li>
<li>Otros puestos de trabajo desempeñados en la Junta de Castilla y León: Coordinador de Servicios de la Dirección General de Recursos Humanos de la Consejería de Educación, Jefe de Servicio de Nóminas, Personal Laboral y en Régimen de Concierto en la Consejería de Educación, Técnico Superior en la Consejería de Industria Comercio y Turismo, Secretario Técnico en el Servicio Territorial de Ávila en la Consejería de Economía y Hacienda, Jefe de Sección de Promoción Industrial en el Servicio Territorial de Ávila.</li>
<li>Experiencia como formador de la Escuela de Administración Pública (ECLAP) y en la Universidad de Valladolid</li>
</ul>";"20220511";"<ul>
<li>Licenciado en Ciencias del Trabajo por la Universidad Abierta de Cataluña en 2005.</li>
<li>Graduado Social Diplomado por la Universidad de Salamanca en 1990</li>
</ul>";;;;;1285167138712;20220613;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285167138712/Organigrama";
"Director de Comunicación";"Julio López Revuelta";;"Director de Comunicación";"https://datosabiertos.jcyl.es/web/jcyl/binarios/906/223/20-DG-Comunicacion-JULIO-LOPEZ-REVUELTA,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<p><strong>TRAYECTORIA INSTITUCIONAL:</strong></p>
<ul>
<li>Concejal del Ayuntamiento de Salamanca desde 1999 hasta 2019: III Teniente de Alcalde delegado de Cultura, Festejos, Patrimonio y Deportes</li>
<li>A lo largo de estos mandatos ha ocupado los siguientes puestos de representación:</li>
<li>Presidente del Consejo de Administración de Turismo, Comercio y Promoción Económica de Salamanca S.A.U.</li>
<li>Presidente de la Comisión de Educación, Cultura, Deportes y Juventud del Ayuntamiento de Salamanca</li>
<li>Miembro de la Comisión de Turismo de la FEMP</li>
<li>Miembro del Consejo Español de Turismo</li>
<li>Miembro del Consejo Autonómico de Turismo de Castilla y León</li>
<li>Patrono de la Fundación Municipal Salamanca Ciudad de Cultura y Saberes y miembro de su Comisión Ejecutiva</li>
<li>Patrono de la Fundación Gómez Planche</li>
<li>Patrono de la Fundación Ramos Andrade</li>
<li>Patrono de la Fundación Camino de la Lengua Castellana</li>
<li>Patrono de la Fundación Caja Duero</li>
</ul>
<p><strong>TRAYECTORIA POLÍTICA:</strong></p>
<ul>
<li>Coordinador General del Partido Popular de Salamanca</li>
<li>Miembro del Comité Ejecutivo Provincial y la Junta Directiva Provincial del Partido Popular de Salamanca</li>
<li>Secretario de Turismo del Comité Ejecutivo del Partido Popular de Castilla y León</li>
</ul>";"20190726";"<ul>
<li>Licenciado en Derecho por la Universidad de Salamanca (año 2000).</li>
<li>Abogado no ejerciente. N Colegiado: 2898. Ilustre Colegio de Abogados de Salamanca.</li>
<li>Experto Universitario en Dirección y Gestión de Actividades Turísticas. Universidad Nacional de Educación a Distancia UNED (año 2009).</li>
<li>Máster en Tributación y Asesoría Fiscal. Centro de Estudios Gestión (año 2001).</li>
</ul>";;;;;1284883791394;20220624;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284883791394/Organigrama";
"Consejera de Movilidad y Transformación Digital";"María González Corral";;"Consejera de Movilidad y Transformación Digital";"https://datosabiertos.jcyl.es/web/jcyl/binarios/149/687/2022-Cargo-Consejera--MTD-GONZALEZ-CORRAL.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>En el Instituto Tecnológico Agrario de Castilla y León ha desempeñado labores de técnico especialista en seguridad de presas y balsas, siendo directora de explotación y planes de emergencia de varias presas.</li>
<li>En la empresa privada ha ocupado los puestos de ingeniero de organización, participando también en la redacción de proyectos y asistencias técnicas en el estudio de ingeniería Adamas Proyectos. Con anterioridad, como ingeniera de Caminos, Canales y Puertos ha trabajado en la redacción de proyectos y direcciones de obra en el estudio de ingeniería Intecnur</li>
<li>Directora y docente del Módulo de Balsas del Máster Internacional en explotación y seguridad de presas y balsas</li>
<li>Vocal titular del Comité Nacional Español de Grandes Presas</li>
<li>Ha ocupado los puestos de Decana, Vicedecana y Vocal de la Junta Rectora de Castilla y León del Colegio de Ingenieros de Caminos, Canales y Puertos</li>
<li>Profesora asociada en la Escuela Politécnica de Burgos entre 2012 y 2014</li>
<li>Directora general de Desarrollo Rural de la Consejería de Agricultura, Ganadería y Desarrollo Rural desde julio de 2019 a abril de 2022</li>
</ul>";"20220420";"<ul>
<li>Ingeniera de Caminos, Canales y Puertos por la Escuela Politécnica Superior de Burgos</li>
<li>Máster en Dirección de Proyectos por la Universidad de Valladolid</li>
<li>Máster Internacional en explotación y seguridad de presas y balsas por la Universidad Politécnica de Madrid</li>
</ul>";;;;;1285157496140;20220630;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285157496140/Organigrama";
"Consejera de Educación";"María del Rocío Lucas Navas";;"Consejera de Educación";"https://datosabiertos.jcyl.es/web/jcyl/binarios/906/752/2022-Cargo-Consejera--EDU-LUCAS.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Ingreso en la Administración de la Comunidad Autónoma de Castilla y León como funcionaria del Cuerpo Superior en abril de 1997</li>
<li>Técnico Superior en la Oficina Territorial de Trabajo de la Junta de Castilla y León en Soria, de abril hasta agosto de 1997</li>
<li>Secretaria Técnica de la Oficina Territorial de Trabajo de la Junta de Castilla y León en Soria, desde agosto de 1997 hasta marzo de 2000, y acumulación de funciones del puesto de Técnico Superior del Servicio Territorial de Industria, Comercio y Turismo de la Delegación Territorial de Soria de febrero de 2000 hasta marzo de 2000</li>
<li>Secretaria de la Junta Electoral de Soria para las elecciones a la Cámara Oficial de Comercio e Industria de Castilla y León, en marzo de 1998</li>
<li>Jefa del Servicio de Profesorado de Educación Pública de Secundaria, Formación Profesional Adultos y Régimen Especial de la Dirección General de Recursos Humanos de la Consejería de Educación de la Junta de Castilla y León, desde marzo de 2000 hasta julio de 2003</li>
<li>Directora General de Recursos Humanos de la Consejería de Educación de la Junta de Castilla y León desde julio de 2003 hasta junio de 2011</li>
<li>Viceconsejera de Función Pública y Modernización de la Consejería de Hacienda de la Junta de Castilla y León, desde julio de 2011 hasta julio de 2015</li>
<li>Gerente del Servicio Público de Empleo de Castilla y León, desde julio de 2015 hasta julio de 2019</li>
<li>Consejera de Educación de la Junta de Castilla y León de julio de 2019 a abril de 2022</li>
</ul>";"20220420";"<ul>
<li>Licenciada en Derecho por la Universidad de Valladolid (1989-1994)</li>
</ul>";;;;;1284881919952;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284881919952/Organigrama";
"Consejero de Cultura, Turismo y Deporte";"Gonzalo Santonja Gómez";;"Consejero de Cultura Turismo y Deporte";"https://datosabiertos.jcyl.es/web/jcyl/binarios/67/296/2022-Cargo-Consejero--CTD-SANTONJA.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Dirigió el Instituto Castellano y Leonés de la Lengua durante casi dos décadas.</li>
<li>Pertenece a la Academia Norteamericana de la lengua Española (ANLE), Academia Argentina de Letras y Academia Filipina de la Lengua Española y ha codirigido, entre 2010 y 2019, el Foro Internacional de Filología de la Feria del Libro de Guadalajara (México).</li>
<li>Ha publicado más de treinta libros de ensayo, así como cinco obras sobre el toreo y sus orígenes. Fue vicedirector/fundador de los Cursos de Verano de la Universidad Complutense en El Escorial y asesor de entidades y fundaciones como V Centenario del Tratado de Tordesillas, Sociedad Estatal España.</li>
<li>Es vocal del comité de publicaciones y del comité científico de Glosas de la Academia Norteamericana de la Lengua Española (ANLE, Nueva York) y de revistas como La Colmena (Universidad del Estado de México), Siglo XXI.</li>
<li>Creó y dirigió en el ILCYL un centro de altos estudios sobre lenguas romances y los orígenes del castellano.</li>
<li>En 2022 ha sido nombrado Profesor Emérito de la Universidad Complutense de Madrid.</li>
</ul>";"20220420";"<ul>
<li>Catedrático de la Universidad Complutense</li>
</ul>";;;;;1285157577368;20240712;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285157577368/Organigrama";
"Consejero de Agricultura, Ganadería y Desarrollo Rural";"Gerardo Dueñas Merino";;"Consejero de Agricultura Ganadería y Desarrollo Rural";"https://datosabiertos.jcyl.es/web/jcyl/binarios/51/478/2022-Cargo-Consejero-AGD-DUENAS.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Su trayectoria profesional ha estado muy ligada a distintas asociaciones y sociedades agrícolas y ganaderas. Fue director Gerente de ASAJA de Castilla y León y director General de CORECCAL (Sociedad Cooperativa Limitada). También ha sido técnico de la Asociación de Agricultores y Ganaderos Palentinos</li>
<li>Dentro de ASAJA, además de la gerencia, ha ocupado otros cargos como los de Vocal del Consejo Asesor de Medio Ambiente de Castilla y León, del Consejo de Urbanismo de Castilla y León y del Consejo Económico y Social de Castilla y León, del que ya era asesor externo para temas agrarios</li>
<li>En los últimos años ha asumido el puesto de dirección de área por FERTINAGRO en Agrifeed</li>
</ul>";"20220420";"<ul>
<li>Ingeniero Agrónomo por la ETSIA de Madrid e Ingeniero Técnico en Explotaciones Agropecuarias por la ETSIA de Palencia</li>
<li>Máster en Gestión Medio Ambiental por el Instituto de Investigaciones Ecológicas</li>
</ul>";;;;;1285157509737;20220630;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285157509737/Organigrama";
"Consejero de Industria, Comercio y Empleo";"Mariano Veganzones Díez";;"Consejero de Industria Comercio y Empleo";"https://datosabiertos.jcyl.es/web/jcyl/binarios/259/243/2022-Cargo-Consejero--ICE-VEGANZONES.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Jefe de Área Técnica del Consejo Económico y Social de Castilla y León.</li>
<li>Coordinador de la Consejería de Empleo e Industria de 2019 a 2020.</li>
<li>Secretario del Consejo Económico y Social de Castilla y León durante varios años.</li>
<li>Ha ocupado diferentes puestos y funciones en las consejerías de Educación, de Familia y de Empleo de la Junta de Castilla y León desde 2008.</li>
<li>También fue secretario Técnico en el Servicio Público de Empleo de Castilla y León y Técnico Asesor del Delegado Territorial de Valladolid.</li>
<li>Coordinador de Zona de VOX Valladolid Capital.</li>
</ul>";"20220420";"<ul>
<li>Licenciado en Geografía e Historia, con formación doctoral en Sociedad y Economía en España y sus relaciones con el Mediterráneo</li>
</ul>";;;;;1285157449316;20220630;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285157449316/Organigrama";
"Consejero de Medio Ambiente, Vivienda y Ordenación del Territorio";"Juan Carlos Suárez-Quiñones Fernández";;"Consejero de Medio Ambiente Vivienda y Ordenación del Territorio";"https://datosabiertos.jcyl.es/web/jcyl/binarios/508/772/2022-Cargo-Consejero--MVO-QUINONES.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Miembro de la Carrera Judicial por oposición superada en 1987. Promocionado a la categoría de Magistrado con fecha 25 de enero de 1990. Destinos judiciales en Benavente (Zamora), Getafe (Madrid) y León, Juzgado y Audiencia Provincial.</li>
<li>Elegido Juez Decano de los Juzgados del partido Judicial de León desde diciembre de 2002 a febrero de 2012. Fue miembro de la Comisión de Seguimiento de Jueces Decanos de España. Ha sido miembro electo de la Sala de Gobierno del Tribunal Superior de Justicia de Castilla y León en el período 2004-2009. Coordinador de la Escuela Judicial del Consejo General del Poder Judicial en las prácticas tuteladas de nuevos Jueces, tutor del programa de formación y conferenciante de citada Escuela Judicial. Ha sido miembro de diversas Comisiones, Grupos de Trabajo y de reflexión del Ministerio de Justicia, Consejero General del Poder Judicial y otros entes.</li>
<li>El día 10 de febrero de 2012 fue nombrado Subdelegado del Gobierno en León. El día 10 de abril de 2015 fue nombrado Delegado del Gobierno en Castilla y León por el Consejo de Ministros. Real Decreto 271/2015 de 10 de abril.</li>
<li>Profesor asociado del Área de Derecho Penal en la Facultad de Derecho de la Universidad de León desde el curso 1996-1997 al curso 2006-2007, y desde el curso 2013-2014 al curso 2014- 2015. Docencia en los estudios de licenciatura y grado de Derecho, Administración y Dirección de Empresas y Ciencias Medioambientales.</li>
<li>Colaborador honorífico del Área de Derecho Penal de la Facultad de Derecho de la Universidad de León desde 2007 a 2013, y profesor de la Escuela de Práctica Jurídica de León y de distintos Masters en la Universidad de León.</li>
<li>Procurador de las Cortes de Castilla y León en las X y XI legislaturas</li>
<li>Consejero de Fomento y Medio Ambiente de la Junta de Castilla y León de 2015 a 2019 y de 2019 a 2022</li>
</ul>";"20220420";"<ul>
<li>Licenciado en Derecho por la Universidad de León, promoción 1979-1984 con título de fecha 16 de octubre de 1985</li>
<li>Certificado-Diploma de Estudios Avanzados en los Estudios de Doctorado teniendo reconocida la suficiencia investigadora</li>
</ul>";;;;;1285157486066;20220630;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285157486066/Organigrama";
"Delegada Territorial de Soria";"Yolanda de Gregorio Pachón";;"Delegada Territorial de Soria";"https://datosabiertos.jcyl.es/web/jcyl/binarios/416/395/24-Cargo-DT-Soria-Yolanda-De-Gregorio-Pachon.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<p>Secretaria- Intervención, Clase 3, en Santa María de Huerta, Soria, 1995 - 2000</p>
<p>Técnico de Administración General del Ayuntamiento de Soria, 2000 - 2001</p>
<p>Técnico de Administración General en la Gerencia de Servicios Sociales de Segovia, de la Junta de Castilla y León 2001 - 2002</p>
<p>Técnico de Administración General de la Junta de Castilla y León, adscrita al Servicio Territorial de Medio Ambiente en Soria 2002 - 2005 </p>
<p>Jefe de Servicio de Régimen Jurídico en la Dirección General de Administración Territorial, Consejería de Presidencia y Administración Territorial, 2005 - 2007 </p>
<p>Coordinadora de la Dirección General de Atención al Ciudadano y Calidad de los Servicios de la Consejería de Administración Autonómica 2007 - 2008</p>
<p>Técnico de la Dirección General de la Función Pública de la Consejería de Administración Autonómica 2008 - 2010 </p>
<p>Jefe de Servicio de Registro y Gestión de Personal de la Dirección General de la Función Pública de la Consejería de Administración Autonómica 2009 - 2010</p>
<p>Coordinadora de la Dirección General de la Función Pública 2010 - 2011</p>
<p>Jefa de la Unidad de Estudios y Coordinación de la Delegación Territorial de 2011 - 2012</p>
<p>Técnico Asesor de la Delegación Territorial de Soria, 2012 - 2017</p>
<p>Subdelegada del Gobierno en Soria, 2017 - 2018</p>
<p>Técnico Asesor de la Delegación Territorial de Soria, 2018</p>
<p><strong>Experiencia política:</strong></p>
<ul>
<li>Concejal del Ayuntamiento de El Burgo de Osma- Ciudad de Osma</li>
<li>Concejal del Ayuntamiento de Barca</li>
<li>Subdelegada del Gobierno en Soria</li>
<li>Actualmente Concejal del Excmo. Ayuntamiento de Soria</li>
<li>Actualmente Diputada Provincial de la Excma. Diputación Provincial de Soria </li>
<li>Presidenta del Partido Popular en Soria</li>
</ul>";"20190910";"<p>Licenciada en Derecho por la Universidad de Valladolid (1989-1994)</p>
<p>Programa de Doctorado en Derecho de la Unión Europea y Problemas Actuales en el ámbito de Derecho Público</p>";;;;;1284891269935;20240927;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284891269935/Organigrama";
