DENOMINACIÓN;LOCALIDAD;PROVINCIA;Regional;Nacional;Internacional
Semana Santa;Ávila;Ávila;1993;2005;2014
Romería de Nuestra Señora de Chilla;Candeleda;Ávila;1996;;
Romería del Cristo de la Luz;Lanzahita;Ávila;2001;;
Vitor a San Pedro Bautista;San Esteban del Valle;Ávila;1991;;
Romería de San Pedro de Alcántara;Arenas de San Pedro;Ávila;2003;;
Los Carnavales;Cebreros;Ávila;2009;2021;
La procesión de los romances;Navaluenga;Ávila;2009;;
Jornadas Medievales;Ávila;Ávila;2017;2023;
CARNAVAL DE NAVALOS, CUCURRUMACHO Y DOMINGO GORDO;Navalosa;Ávila;2022;;
Mercado Medieval;La Adrada;Ávila;2023;;
Fiesta de San sebastián;Poyales del Hoyo;Ávila;2025;;
Fiesta de Nuestra Señora de las Vacas;Ávila;Ávila;2025;;
Las Noches de Ronda;Sotillo de la Adrada;Ávila;2025;;
Fiesta de la Tabera;Briviesca;Burgos;2000;;
"Fiestas de San Pedro y San Pablo ""Día de las Peñas""";Burgos;Burgos;1996;;
Fiesta del Colacho;Castrillo de Murcia;Burgos;1996;;
Fiesta del Capitán;Frías;Burgos;2000;;
Romería de Nuestra Señora de las Nieves;Las Machorras;Burgos;2001;;
Romería de San Bernabé;Merindad de Sotoscueva;Burgos;2000;;
Fiestas de San Juan del Monte;Miranda de Ebro;Burgos;1996;2015;
Danza del Escarrete;Poza de la Sal;Burgos;1998;;
Fiesta de los Jefes;Santo Domingo de Silos;Burgos;2003;;
El Curpillos;Burgos;Burgos;2004;;
La Semana Santa;Aranda de Duero;Burgos;2005;;
Semana Santa;Burgos;Burgos;2006;2013;
El Cronicón;Oña;Burgos;2008;;
Romería de la Virgen de Castro;Caleruega;Burgos;2010;;
La batalla de Atapuerca;Atapùerca;Burgos;2017;;
Fiesta a Baco;Baños de Valdearado;Burgos;2020;;
Ruta del Emperador Carlos V en Medina de Pomar;Medina de Pomar;Burgos;2022;;
Cabalgata de Reyes y Belén Viviente;Torregalindo;Burgos;2022;;
Los Titos de San Antón;Burgos;Burgos;2022;;
Pasión Viviente;Covarrubias;Burgos;2022;;
Fiesta de la Cecina-Catédra de San Pedro;Burgos;Burgos;2023;;
Fiesta de Mayo;Hontoria del Pinar;Burgos;2023;;
Fiesta del Judas;Villadiego;Burgos;2023;;
Semana Santa;Sotillo de la Ribera;Burgos;2023;;
El Arranque y la Danza;Belorado;Burgos;2025;;
Fiesta Barroca;Lerma;Burgos;2025;;
La Guinda;Villarcayo de Merindad de Castilla La Vieja;Burgos;2025;;
Fiesta de Exaltación de la Patata;Tardajos;Burgos;2025;;
Semana Santa;Astorga;León;1997;2011;
Festival de Exaltación del Botillo;Bembibre;León;2000;2008;
Justas Medievales del Passo Honrosso;Hospital de Órbigo;León;1998;;
Corpus Christi;Laguna de Negrillos;León;1991;;
La Ronda y la Procesión de los Pasos;León;León;1993;1998;2002(Men. Es.)
Semana Santa;León;León;1998;1999;2002
Semana Santa;Ponferrada;León;1999;2015;
Los Carnavales;La Bañeza;León;2002;2011;
Fiesta de las Cabezadas;León;León;2003;;
La Semana Internacional de la Trucha y su concurso gastronómico;León;León;2004;;
Fiesta de San Froilán y Romería de San Froilán;León;León;2005;;
Fiesta de San Froilán y Romería de San Froilán;Virgen del Camino;León;2005;;
Las Cantaderas;León;León;2005;;
Semana Santa;Sahagún;León;2008;2023;
El Magosto;Santa Marina del Sil;León;2008;;
Noche Mágica;Balboa;León;2010;;
Fiestas Astur-Romanas;Astorga;León;2011;;
Corpus Chico;León;León;2022;;
Las Caídas ;Almanza;León;2023;;
Semana Santa;La Bañeza;León;2023;;
Concurso-Exposición de ganado caballar de raza Hispano-Bretón;San emiliano;León;2023;;
Gran Premio de Velocidad;La Bañeza;León;2025;;
Tradición y Danzas en el Valle de Fornela;Peranzanes;León;2025;;
Descenso Internacional del Pisuerga y Fiesta Palentina de las Piraguas;Alar del Rey;Palencia;1996;;
Fiestas de San Juan Bautista;Baños de Cerrato;Palencia;1996;;
Exaltación del Cangrejo de Río;Herrera del Pisuerga;Palencia;1994;;
Gran Paellada Ollerense;Olleros de Pisuerga;Palencia;1994;;
El Bautizo del Niño;Palencia;Palencia;1999;2015;
Semana Santa;Palencia;Palencia;1998;2005;2012
Fiestas Patronales de la Virgen del Valle;Saldaña;Palencia;1999;;
Día de Fuentes Carrionas y la Montaña Palentina;Velilla del Río Carrión;Palencia;1997;;
San Bartolomé;Villarramiel;Palencia;1992;;
Romería de Santo Toribio;Palencia;Palencia;2005;;
Corpus Christi;Carrión de los Condes;Palencia;2008;;
Carnaval de la galleta;Aguilar de Campoo;Palencia;2018;;
Fiesta de Santa Bárbara;Barruelo de Santullán;Palencia;2022;;
"Auto del Nacimiento 
de Nuestro Señor";"Villamueriel 
de Cerrato";Palencia;2023;;
Semana Santa ;Carrión de los Condes;Palencia;2025;;
La Loa;La Alberca;Salamanca;;1980;
Procesión del Corpus;Béjar;Salamanca;1998;2010;2019
Carnaval del toro;Ciudad Rodrigo;Salamanca;;1980;
La Charrada;Ciudad Rodrigo;Salamanca;1991;;
Semana Santa;Salamanca;Salamanca;1995;1998;2003
El Noveno;San Felices de los Gallegos;Salamanca;2005;;
Boda típica;Candelario;Salamanca;2009;;
Matanza Típica;Guijuelo;Salamanca;2011;;
Corpus Christi;La Alberca;Salamanca;2011;;
Fiestas Patronales de Santa Teresa;Alba de Tormes;Salamanca;2011;;
La Procesión de los Candiles;Miranda del Castañar;Salamanca;2017;;
Lunes de Agua;Salamanca;Salamanca;2020;;
La Pasión Viviente;Serradilla del Arroyo;Salamanca;2025;;
"Nuestra Señora del Rosario: ""Los Encierros""";Cuéllar;Segovia;1994;2008;2018
Romería del Santo Cristo del Caloco;El Espinar;Segovia;1996;;
Semana Santa;Segovia;Segovia;1999;2017;
Romería de Hontanares;Riaza;Segovia;1996;´´´´;
Fiestas de Santa Agueda;Zamarramala;Segovia;1996;;
La Fiesta de los Gabarreros;El Espinar;Segovia;2002;;
Semana Santa ;Cuéllar;Segovia;2025;;
Viernes Santo;Ágreda;Soria;2000;;
La Bajada de Jesús Nazareno;Almazán;Soria;1996;;
Fiestas de S. Pascual Bailón o El Zarrón;Almazán;Soria;2000;;
Jornadas de la Matanza;El Burgo de Osma;Soria;1996;;
Semana Santa;El Burgo de Osma;Soria;1997;;
La Soldadesca;Iruecha;Soria;1991;;
Paso del Fuego y Fiestas de las Mondidas;San Pedro Manrique;Soria;;1980;
Fiestas de San Juan o de la Madre de Dios;Soria;Soria;1996;;
Nuestra Señora de la Virgen del Pino y San Roque;Vinuesa;Soria;1995;;
Semana Santa;Soria;Soria;2008;;
Las Ánimas;Soria;Soria;2023;;
Fiesta de la Barrosa;Abejar;Soria;2025;;
El Vitor;Mayorga;Valladolid;2001;2003;
Semana Santa;Medina del Campo;Valladolid;1993;2005;2011
Semana Santa;Medina de Rioseco;Valladolid;;1985;2009
Fiestas de Nuestra Señora y San Roque;Peñafiel;Valladolid;1997;;
Semana Santa;Tordesillas;Valladolid;1996;;
Toro de la Vega;Tordesillas;Valladolid;1996;;
Semana Santa;Valladolid;Valladolid;;;1980
La Bajada del Ángel;Peñafiel;Valladolid;2002;2011;
La Fiesta de la Vendimia;Cigales;Valladolid;2002;;
Los Encierros Tradicionales;Medina del Campo;Valladolid;2002;2011;
El Belén Viviente;Cabezón de Pisuerga;Valladolid;2004;;
Virgen de los Pegotes;Nava del Rey;Valladolid;2008;;
Los Encierros;Olmedo;Valladolid;2009;;
Los Pingüinos;Valladolid;Valladolid;2010;;
La Vaca Enmaromada;Palazuelo de Vedija;Valladolid;2010;;
Fiesta de la Vendimia;Rueda;Valladolid;2011;;
Cabalgata de Medina de Rioseco;Medina de Rioseco;Valladolid;2020;;
Festival de Teatro Alternativo;Urones de Castroponce;Valladolid;2022;;
Encierro Tradicional ;Mayorga;Valladolid;2023;;
Via Crucris Juvenil;Fresno El Viejo ;Valladolid;2023;;
Semana Santa;Peñafiel;Valladolid;2023;;
Encierros Taurinos;Tordesillas;Valladolid;2025;;
Belén Viviente;Laguna del Duero;Valladolid;2025;;
Concentración Motorista Invernal Motauros;Tordesillas;Valladolid;2025;;
Semana Santa ;Villalpando;Zamora;2025;;
Toro Enmaromado;Benavente;Zamora;1991;;
El Carnaval;Toro;Zamora;1996;;
Los Carochos;Riofrío de Aliste;Zamora;2002;;
Fiesta de la Vendimia;Toro;Zamora;2003;;
La Veguilla;Benavete;Zamora;2004;;
Semana Santa;Zamora;Zamora;;1980;1986
El Zangarrón;Sanzoles del Vino;Zamora;2005;;
Semana Santa;Toro;Zamora;2008;;
Romería de los Viriatos;Fariza;Zamora;2010;;
Viernes Santo;Bercianos de Aliste;Zamora;2011;;
Mercado Medieval;Puebla de Sanabria;Zamora;2017;;
Virgen de la Salud;Alcañices;Zamora;2023;;
El Baile del Niño;Venialbo;Zamora;2023;;
Semana Santa;Fuentesaúco;Zamora;2023;;
Carnavales de Cencerros;Villanueva de Valrojo;Zamora;2025;;
Semana Santa ;Benavente;Zamora;2025;;


