identificador;nombre;tipoMonumento;identificadorBienInteresCultural;calle;clasificacion;tipoConstruccion;codigoPostal;Descripcion;periodoHistorico;coordenadas_latitud;coordenadas_longitud;poblacion_provincia;poblacion_municipio;poblacion_localidad;pto_geolocalizado;poblacion;coordenadas
23943;Peñaguila;Yacimientos arqueológicos;997;Crtra. Muñogalindo - Balbarda. Altura cementerio, camino dirección norte;Yacimiento;Arte rupestre;5530;"<p align=""justify"">Constituye una amplia zona en la que se han localizado distintos grabados y restos arqueol&oacute;gicos, entre los que pueden citarse hachas de piedra, fragmentos de silex, pellas de barro cocidas y fragmentos de cer&aacute;mica a mano tanto lisa como pintada y decorada con motivos incisos.</p>";Edad del Cobre;40.603607;-4.899341;Ávila;Muñogalindo;Muñogalindo;40.603607,-4.899341;"{""provincia"": ""Ávila"", ""municipio"": ""Muñogalindo"", ""localidad"": ""Muñogalindo""}";"{""latitud"": ""40.603607"", ""longitud"": ""-4.899341""}"
23945;Peña Mingubela;Yacimientos arqueológicos;1071;;Yacimiento;Arte rupestre;5193;"<p align=""justify"">En esta pe&ntilde;a se han identificado varias zonas y fases que muestran una evoluci&oacute;n art&iacute;stica, que va desde finales de la Edad de Bronce hasta la Edad Media.</p>
<p align=""justify"">Las fases iniciales se caracterizan por la presencia de distintos tipos de figuras humanas, apreci&aacute;ndose la evoluci&oacute;n desde las figuras esquem&aacute;ticas hasta figuras de orantes, pasando por guerreros armados con espadas. Los grabados medievales son figuras esquem&aacute;ticas de origen, probablemente, pastoril.</p>";"Edad Media;Edad del Bronce;Edad del Hierro;Prerromano";40.7055145;-4.5165401;Ávila;Ojos-Albos;Ojos-Albos;40.7055145,-4.5165401;"{""provincia"": ""Ávila"", ""municipio"": ""Ojos-Albos"", ""localidad"": ""Ojos-Albos""}";"{""latitud"": ""40.7055145"", ""longitud"": ""-4.5165401""}"
23947;Cueva de San García;Yacimientos arqueológicos;1975;;Yacimiento;Arte rupestre;9610;"<p align=""justify"">En esta cueva destacan los grabados, fundamentalmente signos abstractos y trazos,&nbsp; aunque, en algunos casos, pueden diferenciarse algunas figuras animales y humanas.</p>
<p align=""justify"">Junto con los restos rupestres, se han hallado restos cer&aacute;micos elaborados a mano de buena calidad.</p>";Edad del Bronce;41.934597;-3.496806;Burgos;Ciruelos de Cervera;Briongos de Cervera;41.934597,-3.496806;"{""provincia"": ""Burgos"", ""municipio"": ""Ciruelos de Cervera"", ""localidad"": ""Briongos de Cervera""}";"{""latitud"": ""41.934597"", ""longitud"": ""-3.496806""}"
23950;Yacimiento de La Ulaña;Yacimientos arqueológicos;2358;;Yacimiento;Castro;9124;"<p align=""justify"">Caracter&iacute;stico castro de la Edad de Hierro, dispuesto en altura y con una orientaci&oacute;n claramente defensiva y de control del territorio.</p>
<p align=""justify"">Se han podido identificar 267 estructuras, entre muros y murallas, muros de mamposter&iacute;a y t&uacute;mulos, as&iacute; como caminos de acceso al castro.&nbsp;</p>";Edad del Hierro;42.647751;-4.049158;Burgos;Humada;Humada;42.647751,-4.049158;"{""provincia"": ""Burgos"", ""municipio"": ""Humada"", ""localidad"": ""Humada""}";"{""latitud"": ""42.647751"", ""longitud"": ""-4.049158""}"
23951;Dolmen Cubillejo;Yacimientos arqueológicos;2423;;Yacimiento;Monumento Megalítico;9642;"<p align=""justify"">Se trata de un gran sepulcro de corredor con amplia c&aacute;mara funeraria de forma poligonal. Como particularidad presenta unos grabados en la cara interna de uno de los bloques que conforman el pasillo, representando distintos signos entre los que pueden identificarse dos cuadr&uacute;pedos.</p>";"Edad del Bronce;Edad del Cobre";42.123995;-3.514941;Burgos;Mambrillas de Lara;Cubillejo;42.123995,-3.514941;"{""provincia"": ""Burgos"", ""municipio"": ""Mambrillas de Lara"", ""localidad"": ""Cubillejo""}";"{""latitud"": ""42.123995"", ""longitud"": ""-3.514941""}"
23953;Necrópolis Altomedieval de Cuyacabras;Yacimientos arqueológicos;3165;;Yacimiento;"Necrópolis;Santuario";9670;"<p align=""justify"">Datada en el siglo X, se trata de una extensa necr&oacute;polis en la que pueden localizarse los restos de alrededor 180 sepulturas excavadas en la roca, incluyendo formas antropomorfas, rectangulares y nichos.</p>
<p align=""justify"">La necr&oacute;polis se encontraba presidida por una iglesia semirupestre, de la que en la actualidad s&oacute;lo se conserva el per&iacute;metro, y una escalera de acceso que, salvando el desnivel, llega hasta la misma.</p>";Edad Media;41.991944;-2.997245;Burgos;Quintanar de la Sierra;Quintanar de la Sierra;41.991944,-2.997245;"{""provincia"": ""Burgos"", ""municipio"": ""Quintanar de la Sierra"", ""localidad"": ""Quintanar de la Sierra""}";"{""latitud"": ""41.991944"", ""longitud"": ""-2.997245""}"
23954;Yacimiento de Deobrigula;Yacimientos arqueológicos;3468;;Yacimiento;Ciudad;9130;"<p align=""justify"">Se trataba de un importante n&uacute;cleo de poblaci&oacute;n mencionado en la Geograf&iacute;a de Ptolomeo y en el Itinerario de Antonino. Del n&uacute;cleo original se conservan restos defensivos, posteriormente la poblaci&oacute;n se traslad&oacute; al llano, donde se han localizado abundantes restos cer&aacute;micos y una interesante colecci&oacute;n de bronces.</p>";Romano;42.351935;-3.806025;Burgos;Tardajos;Tardajos;42.351935,-3.806025;"{""provincia"": ""Burgos"", ""municipio"": ""Tardajos"", ""localidad"": ""Tardajos""}";"{""latitud"": ""42.351935"", ""longitud"": ""-3.806025""}"
23958;El Castro de San Martín de Torres;Yacimientos arqueológicos;4604;Alrededores de la localidad;Yacimiento;Castro;24769;"<p align=""justify"">Se localiza tanto bajo el casco urbano de San Mart&iacute;n de Torres como en sus alrededores, evidenciando la continuidad de su poblaci&oacute;n desde el primer milenio antes de Cristo hasta nuestros d&iacute;as.</p>
<p align=""justify"">Merece destacar los hallazgos realizados en el 'Cerro de las Motas', en el que se han encontrado bloques de adobe de la Edad de Hierro, muros de cuarcita y posible cistierna de la &eacute;poca romana, etc. De la &eacute;poca medieval merece la pena destacar la existencia de un monasterio y el paso por la poblaci&oacute;n de la Ca&ntilde;ada Real de la Ba&ntilde;eza, f&aacute;cilmente identificable con la antigua v&iacute;a romana.</p>";"Romano;Edad del Hierro";42.269897;-5.849152;León;Cebrones del Río;San Martín de Torres;42.269897,-5.849152;"{""provincia"": ""León"", ""municipio"": ""Cebrones del Río"", ""localidad"": ""San Martín de Torres""}";"{""latitud"": ""42.269897"", ""longitud"": ""-5.849152""}"
23963;Iglesia Martirial de Marialba de la Ribera;Yacimientos arqueológicos;5955;;Yacimiento;Iglesia;24199;"<p align=""justify"">Se trata de uno de los monumentos paleocristianos m&aacute;s importantes, fechado en la &eacute;poca romana tard&iacute;a, de los siglos IV al V.</p>
<p align=""justify"">Se pueden identificar varias fases constructivas, el primer edificio se compon&iacute;a de una gran nave longitudinal rematada por un &aacute;bside de forma ultrasemicircular. Con posterioridad se dota a la iglesia de unas enormes estructuras previstas orientadas a la sujeci&oacute;n de la cubierta, probablemente una b&oacute;veda o c&uacute;pula. Ya m&aacute;s tarde, hacia los siglos VI a VII, se construye un baptisterio por inmersi&oacute;n unido al edificio principal.</p>";Paleocristiano;42.535492;-5.54384;León;Villaturiel;Maríalba de la Ribera;42.535492,-5.54384;"{""provincia"": ""León"", ""municipio"": ""Villaturiel"", ""localidad"": ""Maríalba de la Ribera""}";"{""latitud"": ""42.535492"", ""longitud"": ""-5.54384#""}"
23967;Cueva del Tío Papas;Yacimientos arqueológicos;10406;;Yacimiento;Arte rupestre;37764;"<p align=""justify"">Se pueden apreciar varias figuras, entre las cuales pueden destacarse varias figuras humanas, as&iacute; como otra serie de figuras de car&aacute;cter marcadamente geom&eacute;trico. Predomina el uso de colores rojos, que en alg&uacute;n caso tienen su contorno marcado en blanco.</p>";"Edad del Cobre;Neolítico";40.515747;-5.967798;Salamanca;Valero;Valero;40.515747,-5.967798;"{""provincia"": ""Salamanca"", ""municipio"": ""Valero"", ""localidad"": ""Valero""}";"{""latitud"": ""40.515747"", ""longitud"": ""-5.967798""}"
