IDProducto;Producto;Marca;IDEmpresa;Seccion;Categoria;Variedad;FigurasCalidad;HEART OF SPAIN
28425;AMANITA CAESAREA FRESCO;CONSERVAS GABEMAR;1002;VERDURAS, HORTALIZAS Y PRODUCTOS SILVESTRES;SETAS Y HONGOS;SETA;M.G. SETAS DE CASTILLA Y LEON;
28426;CANTHARELLUS CIBARIUS FRESCO;CONSERVAS GABEMAR;1002;VERDURAS, HORTALIZAS Y PRODUCTOS SILVESTRES;SETAS Y HONGOS;SETA;M.G. SETAS DE CASTILLA Y LEON;
28429;TRICHOLOMA PORTEMTOSUM FRESCO;CONSERVAS GABEMAR;1002;VERDURAS, HORTALIZAS Y PRODUCTOS SILVESTRES;SETAS Y HONGOS;SETA;M.G. SETAS DE CASTILLA Y LEON;
47264;MEZCLA DE SETAS SILVESTRES;CONSERVAS GABEMAR;1002;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE SETAS;M.G. SETAS DE CASTILLA Y LEON;
47414;VINO TINTO;PARAJE LENCIA;575;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. TORO;
21779;VINO TINTO PRESTIGIO;CYAN;417;BEBIDAS;VINOS;VINO TINTO;"AGRICULTURA ECOLOGICA DE CASTILLA Y LEON; VCPRD D.O. TORO";
18039;QUESO FRESCO UF 0%;MAMA VACA;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO FRESCO;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
18042;REQUESON CON MERMELADA DE FRESA;MAMA VACA;1187;QUESOS Y OTROS LACTEOS;QUESOS;REQUESON;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
23902;QUESO MEZCLA;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48169;QUESO DE MEZCLA MADURADO AHUMADO;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48172;QUESO IBERICO;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48173;QUESO DE OVEJA MADURADO CON ACEITE DE OLIVA VIRGEN EXTRA;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO DE OVEJA;I.G.P. QUESO CASTELLANO;AUTORIZADO
48174;QUESO MEZCLA MADURADO CON VINO TINTO;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
48176;QUESO DE MEZCLA MADURADO PRIMAVERA CON CURCUMA;EL GRAN CARDENAL;1187;QUESOS Y OTROS LACTEOS;QUESOS;QUESO MEZCLA;PLIEGO DE CONDICIONES DE PRODUCTO;AUTORIZADO
16718;BARRA RUSTICA;EL HORNO DE ANGEL;1189;PANADERIA Y REPOSTERIA;PAN Y ESPECIALIDADES;PAN FLAMA;PLIEGO DE CONDICIONES DE PRODUCTO;
18958;JAMON DE BELLOTA 100% IBERICO;LOS CHANETES;354;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
18961;PALETA DE BELLOTA 100% IBERICA;LOS CHANETES;354;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
18962;PALETA DE BELLOTA IBERICA;LOS CHANETES;354;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
8869;FRITADA DE TOMATE;VEGAESLA DE HORTOESLA;1803;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE TOMATE;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
18565;ENSALADA DE PIMIENTO VERDE PICANTE;VEGAESLA DE HORTOESLA;1803;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE PIMIENTO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
18566;PIMIENTOS AGRIDULCES;VEGAESLA DE HORTOESLA;1803;CONSERVAS;CONSERVAS VEGETALES;CONSERVAS DE PIMIENTO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
32756;PALETA DE CEBO DE CAMPO 100% IBERICA;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
32759;JAMON DE CEBO DE CAMPO 100% IBERICO;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
32790;PALETA DE BELLOTA 100% IBERICA;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
31725;JAMON DE BELLOTA IBERICO;C CAYO;859;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
31727;LOMO DE BELLOTA 100% IBERICO;C CAYO;859;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
